id,parren,type,,
105,43,oras,Lisabona,"Lisabona sau Lisboa este capitala Portugaliei si o metropola internationala. <br />

Este principalul centru portughez inca din anul 1260, cand a devenit capitala a tarii. Aspectul de oras medieval al Lisabonei te invita parca sa faci fotografii la fiecare ""miradouro"" (locurile inalte, amenajate special pentru panorame superbe asupra intregului oras). <br /><br />


Printre nenumaratele atractii, enumeram: Belem (un cartier cu multe monumente: Turnul Belem, Manastirea Jeronimos, etc), Alfama (cel mai vechi cartier al orasului- de fapt era cam tot orasul pe vremea cand maurii au intrat in peninsula- sec. al VIII-lea), Baixa (considerat centrul metropolei), Bairro Alto (cartierul cu cea mai animata viata de noapte), Parcul Natiunilor, etc. O capitala pe tarmul oceanului, intr-un insorit peisaj sudic; amintiri vii din Epoca Marilor Descoperiri Geografice; arta care se intinde din palate pana in strada, din manastiri pana in metrou - cred ca e destul ca sa va stimuleze dorinta de a vizita capitala Portugaliei!
<br />
<br />
<br />
<strong>Litoral zona Lisabona</strong><br />

<br />
Cascais, Estoril, Ericeira si Sesimbra sunt 4 statiuni situate pe coasta Portugaliei. Aproape de Lisabona, aceste statiuni invecinate sunt bine conectate de oras, convenabile pentru explorare spre nord, pana la Sintra, si de asemenea o incantare pentru surferii si jucatorii de golf. Aceste statiuni ofera conditii de cazare la hoteluri de foarte buna calitate, iar facilitatile acestora sunt pentru toate categoriile de varsta.<br /><br />

<strong>CASCAIS:</strong> Fosta statiune regala, Cascais este vestita pentru stralucirea data de curtea regala. Fiind dezvoltata in jurul vechiului port, se pot admira multe biserici si capele vechi. Remarcabil este Palatul Muzeu Castro Guimaraes cu o impresionanta colectie de carti, Muzeul Marii, iar langa orasel se afla Boca do Inferno, o intrare stancoasa ingusta cu arcade si caverne.<br />
<strong>ESTORIL: </strong>La inceput o mica statiune, Estoril a devenit pe parcurs o destinatie preferata de regii europeni exilati, printre care si regele Carol al Romaniei, fiind denumita ""Riviera Portugheza"". Are un vestit Casino, gradini frumoase, terenuri de golf si o atractiva plaja de nisip (Tamariz). In timpul verii se tin concerte si recitaluri la Catedrala din Estoril si alte locatii impresionante. <br />
<strong>ERICEIRA:</strong> Ericeira este o statiune renumita pentru plajele sale frumoase, acolo unde stancile inalte ale coastei pietroase intalnesc Oceanul Atlantic. Surfing-ul reprezinta principala atractie a turistilor veniti din lumea intreaga. Pe langa asta, turistii pot admira minunatele peisaje in timpl unei plimbari cu bicicleta, la calarie sau pur si simplu intr-o drumetie. Ericeira e foarte animata si noaptea, atragand deopotriva portughezi si turisti de pretutindeni, in timpul verii si in week-end-uri. O mare varietate de cluburi de noapte promit o noapte incitanta. Aici gasim al doilea club ca marime din Portugalia (Ourico), inaugurat in august 1960, cu vedere spre stanci si spre Oceanul Atlantic.<br />
<strong>SESIMBRA: </strong>Sesimbra este un orasel cu traditii pescaresti, situat la 40 km de Lisabona. De pe o stanca vegheaza asupra asezarii un castel medieval construit in secolul 13 de Dom Sancho II. Zidurile acestuia gazduiesc Biserica Sfanta Maria, un exemplu de arhitectura religioasa. La aproximativ 10 km de oras se afla Cabo Espichel cu Santuario da Nossa Senhora do Cabo, cu vestitele ""azulejos"" (placi traditionale portugheze pictate in alb si albastru, reprezentand legende sau scene religioase)."
106,19,oras,Azuga,
107,19,oras,Bran,
108,19,oras,Busteni,
109,19,oras,Poiana Brasov,
110,19,oras,Predeal,
111,19,oras,Sinaia,
112,19,oras,Staja,
113,21,oras,Corfu,"Insula care a vrajit poeti si regi. Portul care a legat Rasaritul de apus. Locul unde a poposit Ulise, maretul erou al lui Homer, taramul ales de Poseidon pentru a-si trai dragostea cu Amfitriti, ramane acelasi incantator loc care pana in zilele noastre, gazduieste si incanta vizitatorii contemporani: plin de frumusete, romantic, natural, incarcat de istorie, dar mai presus de toate imprevizibil, Corfu continua si astazi sa-si vrajeasca vizitatorul. <br />

Corfu este insula padurilor si muntilor, cu sate cu case albe, ascunse in vai, stranduri cu nisip si cu locuitorii vestiti pentru ospitalitatea lor. Insula dispune de toate trasaturile necesare pentru o vacanta perfecta, imbinand stilul grecesc cu cel italian. <br />
<br />


Insula Corfu este renumita pentru plantatiile sale de maslini, vita de vie, cereale si produse de apicultura. <br />

Gastronomia insulei a fost influentata de civilizatiile care au ocupat candva acest teritoriu: sicilieni, venetieni, francezi, englezi. Turistii vor descoperi specialitatile corfiote in multiplele taverne si restaurante care ii asteapta: pastitsado - una din cele mai cautate specialitati de pe insula derivata din bucataria venetiana. Are la baza carne de vita gatita in sos de tomate si servita cu spaghete; sofrito - de origine franco-venetiana si contine carne de vita inabusita in sos alb. Se serveste deobicei duminica; koum kouat - este un lichior foarte tare fabricat din fructul Koumquat, fruct care exista doar in Corfu. <br />
<br />


<strong>Statiuni </strong><br />
<br />


<strong>Statiunea Agios Gordis</strong> <br />
este situata in Sud-Vestul insulei Corfu la 15 km distanta de capitala Kerkyra. Aceasta se desfasoara intr-un mic golf la Marea Ionica intinzandu-se de-a lungul unei plaje lungi cu nisip fin si auriu, poate cea mai buna plaja din insula, plaja care se preteaza tuturor tipurilor de sporturi nautice. O mare superba si un peisaj spectaculos va vor invita la plaja, la baie si la sporturi nautice. <br />

Zona este indeosebi montana, bogata in vegetatie mediteraneana, ceea ce confera aerului o puritate aparte. Viata de noapte si shopping-ul sunt bine reprezentate in Agios Gordis, astfel tavernele, restaurantele si magazinele de suveniruri va asteapta sa le vizitati. <br /><br />


<strong>Paleokastritsa </strong><br />
Pe o insula renumita pentru peisajul extraordinar, Paleokastritsa sta neconcurata ca cea mai impresionanta locatie din Corfu. Sase golfuri fermecatoare inconjoara un promontoriu impadurit la Paleokastritsa. Statiunea ofera trei plaje, iar apele sale limpezi sunt ideale pentru practicarea snorkelingului si scufundarilor, precum si a multor altor sporturi acvatice. Poti inchiria o barca si explora grotele si plajele izolate din apropiere. Dealurile care se ridica deasupra statiunii ofera o panorama incredibila asupra zonei, iar poteci de munte duc la fortareata Angelokastro din sec. XIII si manastirea Paleokastritsa. Inainte de dezvoltarea intensa a turismului in aceasta zona, Paleokastritsa era locul preferat al tuturor vedetelor de la Hollywood si vizitata de politicieni si oameni de afaceri renumiti, din intreaga lume. Plajele din aceasta statiune sunt diversificate, cu nisip, dar si cu pietricele, iar imbaiatul este in siguranta pentru copii. Tot aici se pot practica majoritatea sporturilor acvatice preferate de turisti. <br /><br />


<strong>Agios Ioannis </strong><br />
Relaxare, privelisti minunate, sporturi acvatice. <br />

Statiunea se afla pe coasta de est, oferind privelisti minunate asupra tarmului grecesc. In coltul acesta din Corfu intalnesti la tot pasul taverne, magazine cu suveniruri. Plaja este intinsa, cu pietricele, iar zona este renumita pentru practicarea sporturilor acvatice. Statiunea este recomandata celor dornici de relaxare si liniste. <br />
<br />

<strong>Dassia</strong><br />

Statiunea se intinde pe coasta de est a insulei, la 14 km nord de Corfu Town, in fata marii, avand pe fundal dealuri acoperite cu livezi de maslini si pini. Orasul s-a transformat treptat intr-una dintre cele mai cautate statiuni din Corfu. 
Este o locatie animata si activa de dimineata devreme pana noaptea tarziu.<br />
<br />
<strong>Util si practic</strong><br />
<br />
Potrivit mitologiei grecesti, numele de CORFU  (KERKYRA - in limba greaca) provine de la numele nimfei Korkira, fiica lui Assopos. Zeul marilor, Poseidon, s-a indragostit de nimfa si a rapit-o aducand-o pe insula. Homer a fost cel dintai care a cantat frumsetile insulei, amintind in opera sa Odiseea, ca pe coastele insulei, Ulise a fost aruncat  de furtuna si gasit de Nausica, fiica regelui Alcinous. <br />
Regele feacilor i-a pus la dispozitie o corabie cu care a ajuns in patria lui Itaca. <br />

Centrul istoric al orasului Corfu Town este ridicat intre doua fortarete care marturisesc istoria europeana ce dateaza de mai bine de o mie de ani, acesta fiind pricipalul motiv pentru care acesta a fost integrat in Vestigiile Istoriei lumii apartinand UNESCO.<br />

<strong>De vizitat:</strong> Muzeul  Arheologic, Muzeul Artei Asiatice, Palatul Achillion din Gastouri, Pelekas.<br />
<br />
<strong>Clima:</strong><br />
Insula se bucura de o clima mediteraneana cu ierni blande si veri revigorante."
114,21,oras,Creta,"<strong>Insula Creta - PLAJE CELEBRE</strong><br />
<br />

Creta are un peisaj de coasta spectaculos, care variaza de la stanci abrupte care se pravalesc in mare, la fasii intinse de nisip fin. <br />
<strong>
Plaja Matala</strong>, 70 km vest de Heraklion se lauda cu nisip auriu si un trecut agitat. In peretii abrupti de gresie ce se apleaca asupra plajei au fost sapate morminte in perioada romana. Mai tarziu acestea au fost transformate in grote locuibile de primii crestini si de mai recentii hippies. <br />

Exotica <strong>plaja Vai</strong> din Siteia se afla in topul primelor 10 plaje din Grecia si este un paradis tropical incadrat de o padure veche de palmieri, protejata de autoritatile locale. <br />

<strong>Paleohora</strong>, pe coasta de sud, este cea mai renumita plaja din Creta pentru activitatile pe care le ofera. O plaja larga de nisip, nenumarate sporturi acvatice, o scoala de windsurfing si posibilitatea de a observa delfini innotand in mare. <br />

&#522; n <strong>Elounda </strong>si <strong>Aghios Nikolaos</strong> se gasesc plaje premiate cu steag albastru pentru puritatea apei, calitatea nisipului si facilitatile excelente. <br />

<strong>Plajele din Herssonisos</strong> si <strong>Malia </strong>sunt populare printre cei care doresc sa asculte ultimele sound-uri in timp ce se bucura de soare si nisip. Aici, de-a lungul tarmului sunt insirate baruri, magazine, taverne. <br />
<br /><br />

<strong>Statiuni Insula Creta</strong><br /><br />



<strong>HERSONISSOS</strong><br />

Locatie: pe coasta de nord a Cretei, la 25 km vest de Heraklion, capitala insulei Hersonissos a fost odata un mic sat pescaresc; astazi este cea mai populara destinatie de vacanta din Creta. Ai trei optiuni de plaja si o varietate mare de sporturi de apa. Tarmul lung al statiunii este intesat cu taverne, magazine de suveniruri, cafenele, baruri si discoteci. Hersonissos are de oferit cate ceva pentru orice dispozitie si buget, de la familii la tineri petrecareti. <br /><br />



<strong>AGIOS NIKOLAOS/ KALO CHORIO</strong><br />

Locatie: pe coasta de nord-est a Cretei, 30 km est de Heraklion. <br />

Una dintre cele mai placute statiuni turistice din Creta, Aghios Nikolaos se bucura de o pozitie incantatoare in golful Mirabello. Orasul are in centru un mic port animat de yachturi si barci, inconjurat de casute albe, strazi inguste, restaurante si cafenele fermecatoare. Cei interesati de shopping nu trebuie sa piarda zecile de magazine mici si luxoase cu bijuterii, ceramica, imbracaminte din piele si suveniruri. Agios Nikolaos este renumit pentru viata de noapte si nu duce lipsa de baruri si cluburi. Kalo Chorio este o statiune mica, desfasurata pe un deal deasupra marii, cu vedere panoramica asupra fabulosului Golf Mirabello si o plaja premiata cu steag albastru pentru calitatea sa. Se afla in imediata vecinatate a statiunii Aghios Nikolaos, beneficiind astfel de toate atractiile orasului. Kalo Chorio atrage in aceeasi masura cupluri romantice, familii si petrecareti care cauta distractia in Aghios Nikolaos. <br />
<br />


<strong>ELOUNDA</strong><br />

Locatie: pe coasta de nord-est a Cretei, 12 km de Agios Nikolaos, 73 km est de Heraklion. <br />

&#522; n mitologia greaca locul in care s-a nascut Zeus se afla in imediata apropiere a Eloundei. Zeii continua sa zambeasca deasupra Golfului Mirabello, pe tarmul caruia este localizata statiunea, considerata una dintre cele mai luxoase destinatii de pe Mediterana. Cand te gandesti la o vacanta in Golful Mirabello, numele spune totul. Mirabello inseamna ""priveliste frumoasa"". Ridicandu-se din mare, dealurile stancoase ofera de sus o panorama incredibila. Statiunea atrage in fiecare vara vizitatori din toate colturile lumii si un numar considerabil de VIP-uri - politicieni, printi si celebritati in cautare de intimitate, lux si relaxare. Elounda se lauda cu hoteluri luxoase, restaurante sofisticate, cocktail-baruri, dar si cu cafenele si taverne prietenoase. <br /><br />



<strong>AGIA PELAGIA</strong><br />

Locatie: pe coasta de nord a Cretei, 20 km vest de Heraklion. <br />

Agia Pelagia este un exemplu perfect de frumusete naturala cretana si este aproape imposibil sa nu fii fermecat de acest loc. Statiunea are unele dintre cele mai cautate plaje ale Cretei. Este protejata de vanturile puternice ale insulei, marea fiind intotdeauna calma si extrem de limpede, ideala pentru familiile cu copii. Nu vei gasi in Agia Pelagia cluburi mari sau o viata de noapte intensa, ci o selectie de baruri, cafenele si taverne traditionale amplasate de-a lungul tarmurilor. Agia Pelagia este destinatia perfecta pentru a te bucura de peisaje incredibile, odihna si relaxare totala.<br />
<br />
<strong>Util si practic</strong><br />
<br />
Cea mai sudica dintre insulele Greciei, Creta se mandreste cu ape limpezi, plaje nisipoase si un soare darnic. Verile foarte lungi de aici garanteaza soare indiferent de perioada in care alegi sa iti petreci vacanta. Pe tarmul nordic abunda statiunile de vacanta si asezarile istorice. Capitala, Heraklion, este recunoscuta pentru Muzeul de Arheologie si ca punct de plecare pentru explorarea celui mai mare dintre palatele Cretei, Knossos.<br />
<br />
<strong>NU PIERDE IN CRETA:</strong><br />

- Vechile orase Chania si Rethymnon, care si-au pastrat farmecul traditional. <br />

- Knossos Palace, cel mai celebru dintre palatele minoice, construit in cca 1900 i.Hr.<br />

- Grota Diktiana. Conform legendei, Rhea l-a nascut pe Zeus in aceasta grota.<br />

- Exploreaza Cheile Samariei, cel mai lung defileu din Europa si care ofera cel mai spectaculos peisaj din Creta.<br />

- Testeaza-ti abilitatile intr-unul dintre variatele sporturi pe apa ale insulei: scuba-diving, water-skiing, banana rides etc.<br />

- Comanda peste sau fructe de mare proaspete, simplu preparate la o taverna de pe malul marii.<br />

- Delecteaza-te cu loukoumades, desert intalnit numai in Creta. <br />

- Gusta tsikoudhia, bautura alcoolica tare traditional cretana.<br />

- Incearca viata de noapte din Hersonissos, Malia, Agios Nikolaos, Elounda.<br />
<br />
<strong>Clima</strong><br />
Creta are cele mai lungi veri din Grecia, incepand mai devreme decat in alte locuri."
115,21,oras,Kos,"<strong>Insula Kos</strong>, insula lui Hipocrate (parintele medicinei), a fost binecuvantata cu un climat cald, peisaje magnifice, plaje incantatoare si insorite, campii fertile, dar si cu localnici foarte ospitalieri si o multime de situri arheologice. <br /> Insula Kos face parte din grupul de Insule Dodecanese, fiind localizata chiar in inima acestui complex de insule, inconjurata de Marea Egee, intre insulele Kalymnos (in nord) si Nissyros (in sud). Se intinde pe o suprafata de 290 km patrati si are, 112 km de coasta si aprox 27.000 locuitori. <br /> Este a treia insula ca marime dupa Rodos si Karpatos si a doua insula dupa Rodos care atrage cei mai multi turisti (aprox 100.000), majoritatea fiind englezi, dar si germani, olandezi, rusi, polonezi. Farmecul specific al insulei, satele ei pitoresti si plajele insorite incanta vizitatorul. <br /> Peisajul natural este de o frumusete covarsitoare, siturile si monumentele antice, arhitectura specifica din Kos atrag un numar mare de vizitatori in fiecare vara, depasind de 2 sau 3 ori numarul locuitorilor. Aceasta fermecatoare insula a Greciei incanta privirea vizitatorilor cu forme de relief diverse - mare si munte - oferind o combinatie unica de vechi si modern, locasuri de cult in stil ortodox, obiceiuri si traditii, precum si deliciile bucatariei grecesti. <br /><br />


<strong>Capitala insulei</strong><br />

Orasul ii impresioneaza imediat pe turisti prin imensele strazi pavate cu asfalt, dar integrate perfect in verdeata, prin numeroasele alei strajuite de arbori, totul aratand existenta unui proiect urbanistic reusit. Cu multe atractii turistice arheologice ce se regasesc in apropierea orasului si cu strazile largi si drepte, Kos este ideal pentru a te plimba pe jos sau cu bicicleta, orasul fiind cunoscut chiar sub numele de ""Orasul bicicletelor"". Magazinele, barurile, restaurantele, cafenelele, centrele de informatii turistice va permit sa gasiti tot ceea ce va doriti. Portul orasului este unic, pitoresc cu foarte multe barci destinate excursiilor, yahturi si barci pentru pescuit. La o distanta mica de oras, atat in nord cat si in sud (zona Lambis) sau in est (zona Psalidi) sunt amenajate plaje cu toate facilitatile, inclusiv sporturi de apa. &#522; n zona Psalidi se gaseste singurul camping de pe insula. <br />
<br />


<strong>Plajele de pe insula Kos</strong><br />

<strong>Lambi </strong>este situata langa orasul Kos, si se intinde pe o lungime de mai mult de 1 km. Plaja este foarte populara printre turisti, in special datorita apropierii de oras si accesul la facilitatile acestuia. <br />
<strong>
Plaja Psalidi</strong> este situata foarte aproape de orasul Kos, la 3,5 km, pe drumul ce duce la Agios Focas si Therme. <br />

Este o plaja cu nisip si pietricele, amenajata cu umbrele si sezlonguri, cu taverne si cu facilitati pentru practicarea sporturilor acvatice. <br />

<strong>Marmari </strong>este situata in partea de nord a insulei, la 15 km vest fata de orasul Kos. Este o plaja lunga cu nisip, foarte populara printre turisti datorita frumusetii sale. <br />

<strong>Mastichari </strong>este situata in satul cu acelasii nume, la o distanta de 22 km de capitala. Este o plaja exotica, cu nisip alb si apa turcoaz. Exista si un port micut, de unde se organizeaza excursii catre insula Kalymnos. <br />

<strong>Tigaki </strong>se afla langa centrul comercial din Kos, la o distanta de 10 km. Este o plaja foarte cosmopolita si foarte bine organizata. Este locul ideal pentru a practica ""wind surfing"" si se intinde pe o distanta de 10 km lungime. <br />
<strong>Agios Fokas</strong> este una dintre plajele cele mai pitoresti din Kos, deoarece combina intr-un mod unic nisipul cu pietrele. Se afla la o distanta de 6 km, la sud de capitala. <br />

<strong>Thermes </strong>este localizata la vest de capitala, la o distanta de 8 km. Este populara pentru izvoarele termale, ideale pentru curele in reumatism si artrita.<br />
<br />
<strong>Util si practic</strong><br />
<br />
<strong>Specialitati culinare</strong><br />

Kos este insula care ofera placeri gastronomice unice. &#522;n Kos se respecta bucataria mediteraneana - greaca, adica peste, legume, ulei de masline si paste, in combinatie cu retete traditionale locale.<br />

Bineinteles, nu poate lipsi desertul pe baza de miere si vinul.<br />

- Xinomyzithra, o supa locala cu branza.<br />

- Galomyzithra, un fel de branza preparata din lapte de vaca. <br />
- Krasotyri, care este o branza unica, iute si care contine vin.<br />
- Sarsoymades - un desert local traditional cu miere.<br />
- Loukoumades si xerotigana sunt snacksuri dulci prajite.<br />
<br />
<strong>Shopping</strong><br /> pe langa magazinele de pielarie si blanuri, bijuterii si produse artizanale din ceramica, produse cosmetice pe baza de ulei de masline, veti gasi si magazine de imbracaminte si incaltaminte ale caselor de renume.<br />
<br />
<strong>Transportul local</strong><br />
&#522;n Kos transportul cu autobuzul este foarte bine organizat. Poti vizita destinatiile turistice cu bilete foarte ieftine. &#522;n capitala insulei poti folosi autobuzele locale, iar pentru distante mai mari autobuzele KTEL. Rutele sunt foarte frecvente si statia centrala de autobuze se afla in centru, pe strada Cleopatra. Poti vizita regiuni ca Mastichari, Saint Stefanos, Tigaki, Kefalos, Pyli, Asklipieion si Saint Fokas.<br />
<br />
<strong>Clima</strong><br />
Clima este mediteraneana, cu ierni blande si cu o temperatura medie de 31 grade Celsius in timpul verii."
116,21,oras,Rhodos,"<strong>Insula Rhodos</strong> este cea mai mare dintre Insulele Dodecaneze in Marea Egee. Are 78 de km lungime, 38 de km latime si 57.148 locuitori. <br />

Rhodos a devenit un centru regional important, multumita pozitiei sale, climatului si atractiilor naturale. Este cunoscuta ca Insula Soarelui. Pindar o mentioneaza intr-una din odele sale ca fiind nascuta din unirea zeului Helios cu nimfa Rhoda. <br />

Insula este acoperita de un sol fertil, cu vegetatie bogata; cel mai inalt punct de pe insula este varful Atavyros (1.215 m) situat in partea de sud-vest a insulei. <br />

Insula abunda in locuri incantatoare si interesante, care merita sa fie vizitate, cum ar fi Valea Fluturilor, satul Triada, langa anticul Ialyssos (Ialissos) pe varful Filerimos, unde in secolul 15 a fost ridicata manastirea cu acelasi nume, ruinele templelor lui Atena si Zeus, Kameiros (Kamiros) si ruinele orasului Dorian, Kalithea cu baile termale, Koskinou, Afandou, Faliraki si Rodini. <br />
<br />


<strong>Orasul Rhodos</strong><br />

Capitala, denumita tot Rhodos, este situata in nordul insulei si este compusa practic din trei orase: modern, antic si medieval. Orasul modern are un caracter cosmopolit, cu majoritatea cladirilor ridicate in secolul al XX-lea. Orasul antic, fondat in anul 408 i. Chr. se mandreste cu ruinele templelor lui Zeus, Atena si Apollo, cu Stadionul, Gymnasiumul si Teatrul. Orasul medieval este inconjurat de zidurile ridicate de Cruciati. Este impartit in doua parti inegale: micul Collachio si marele Burgo sau Hora. <br />


Important este si orasul Lindos. Contrastul dintre casele de un alb stralucitor, ridicate pe cele doua plaje terasate si orasul vechi, formeaza una din cele mai uimitoare imagini din Grecia. <br /><br />



<strong>Plajele de pe insula Rhodos</strong><br />

<strong>Faliraki</strong><br />

Se afla la 13 km de Rodos. Este una dintre statiunile preferate de pe insula. Plaja de aici este foarte bine organizata, cu sezlonguri si umbrele pentru inchiriat, precum si facilitati pentru practicarea sporturilor marine. &#522; n jurul plajei sunt o multime de hoteluri, taverne si baruri. <br />

<strong>Ixia </strong><br />

Este o statiune turistica in plina dezvoltare, aflata la 2 km de orasul Rhodos, cu multe posibilitati de shopping, cu taverne originale grecesti si cu o plaja lunga cu pietricele. Faleza este plina de cafenelele, barurile si discotecile care se conformeaza cu pretentiile tinerilor. <br />

<strong>Ialissos</strong><br />

Se afla la 10 km de Rhodos. De-a lungul falezei sunt foarte multe taverne, cafenele, magazine si diferite alte posibilitati de distractie. Plaja de aici este una dintre cele mai cosmopolite plaje din Rodos, cu nisip dar si cu pietricele. Este o locatie populara, ideala pentru windsurfing. <br />

<strong>Kallithea</strong><br />

Satul Kallithea si plaja cu acelasi nume sunt situate pe coasta de sud-est a insulei Rodos, la o distanta de 10 km de capitala. Plaja este foarte aglomerata, deoarece este renumita pentru izvoarele termale si saloanele Spa. Este un loc magic, cu multi copaci si poti gasi o mare varietate de hoteluri si taverne. <br />

<strong>Elli</strong><br />

Plaja Elli este plaja centrala in capitala din Rodos, langa cazino. Este foarte bine amenajata cu sezlonguri si umbrele pentru inchiriat, precum si cu o multime de taverne. <br /><br /><br />
<strong>Util si practic</strong><br /><br />

<strong>Specialitati culinare:</strong><br />

Pitaroudia - crochete din naut<br />

Kapamas - carne de capra la cuptor cu naut si fasole<br />

Soupiorizo - risotto cu caracatita<br />

Manatsouki - fasole sau naut gatite intr-un vas de pamant <br />

Rifiki - spate de capra sau oaie umplut cu orez si gatit intr-un vas de pamant<br /><br />


<strong>Dulciuri:</strong><br />

Melekouni - foarte asemanatoare cu sarailiile<br />

Talagoutes - clatite cu miere, nuci, scortisoara si susan. <br />
<br />

<strong>Shopping: </strong>
Fie ca esti interesat de marci de renume sau buticuri, suveniruri sau accesorii, Rhodos este potrivit pentru toate gusturile, concurand cu orice metropola europeana. <br />

In partea orasului nou se gssesc mai ales magazine de marca, iar pantofii sunt la jumatate de pret fata de restul Europei. <br />

Partea medievala a orasului este dedicata magazinelor cu bijuterii din aur si argint. Manopera este de calitate, iar preturile foarte bune. <br /><br />


<strong>Distractie</strong><br />

Grecii sunt mari amatori de distractie nocturna, iar cluburile si barurile ofera atat muzica greceasca live - Bouzoukia - cat si muzica de club. Pentru seri romantice si cocktailuri deosebite mergi in Odyssey Cafe din Faliraki. <br />

Cel mai fierbinte loc este Sting Bar, tot din Faliraki unde poti dansa si te poti distra pe cele mai noi ritmuri. 
<br /><br />
<strong>Clima:</strong><br />
Insula se bucura de un climat de tip mediteranean, cu veri insorite si uscate si cu ierni blande si ploioase. In perioada estivala, temperaturile sunt intre 17grC si 29grC."
